Timestamp,City,Temperature,Humidity,Heat Index,Lat,Lon
2026-03-31 09:00:00,Mandalay,31.1,53,34.6,21.9588,96.0891
2026-03-31 10:00:00,Mandalay,33.0,48,37.1,21.9588,96.0891
2026-03-31 11:00:00,Mandalay,34.6,42,39.3,21.9588,96.0891
2026-03-31 12:00:00,Mandalay,36.0,37,41.0,21.9588,96.0891
2026-03-31 13:00:00,Mandalay,37.0,33,41.2,21.9588,96.0891
2026-03-31 14:00:00,Mandalay,37.5,31,40.8,21.9588,96.0891
2026-03-31 15:00:00,Mandalay,37.6,29,40.0,21.9588,96.0891
2026-03-31 16:00:00,Mandalay,37.2,29,38.7,21.9588,96.0891
2026-03-31 17:00:00,Mandalay,36.5,29,37.2,21.9588,96.0891
2026-03-31 18:00:00,Mandalay,35.5,33,37.0,21.9588,96.0891
2026-03-31 19:00:00,Mandalay,33.7,38,35.3,21.9588,96.0891
2026-03-31 20:00:00,Mandalay,32.5,41,34.1,21.9588,96.0891
2026-03-31 21:00:00,Mandalay,31.3,47,32.9,21.9588,96.0891
2026-03-31 22:00:00,Mandalay,30.3,53,32.4,21.9588,96.0891
2026-03-31 23:00:00,Mandalay,29.4,58,32.0,21.9588,96.0891
2026-04-01 00:00:00,Mandalay,28.8,64,32.0,21.9588,96.0891
2026-04-01 01:00:00,Mandalay,28.2,69,31.6,21.9588,96.0891
2026-04-01 02:00:00,Mandalay,27.6,72,31.0,21.9588,96.0891
2026-04-01 03:00:00,Mandalay,27.2,74,30.5,21.9588,96.0891
2026-04-01 04:00:00,Mandalay,26.9,73,30.3,21.9588,96.0891
2026-04-01 05:00:00,Mandalay,26.6,66,28.5,21.9588,96.0891
2026-04-01 06:00:00,Mandalay,27.1,71,31.6,21.9588,96.0891
2026-04-01 07:00:00,Mandalay,28.1,65,32.1,21.9588,96.0891
2026-04-01 08:00:00,Mandalay,30.0,58,33.5,21.9588,96.0891
2026-04-01 09:00:00,Mandalay,32.0,52,35.9,21.9588,96.0891
2026-04-01 10:00:00,Mandalay,34.0,43,38.6,21.9588,96.0891
2026-04-01 11:00:00,Mandalay,35.5,40,40.7,21.9588,96.0891
2026-04-01 12:00:00,Mandalay,36.1,39,42.0,21.9588,96.0891
2026-04-01 13:00:00,Mandalay,36.9,35,41.6,21.9588,96.0891
2026-04-01 14:00:00,Mandalay,37.4,31,40.1,21.9588,96.0891
