Timestamp,Temperature,Humidity
2026-04-02 23:00:00,31.3,45
2026-04-03 00:00:00,30.6,43
2026-04-03 01:00:00,29.6,47
2026-04-03 02:00:00,29.2,50
2026-04-03 03:00:00,28.9,51
2026-04-03 04:00:00,28.1,54
2026-04-03 05:00:00,27.4,58
2026-04-03 06:00:00,26.7,65
2026-04-03 07:00:00,27.8,67
2026-04-03 08:00:00,30.7,50
2026-04-03 09:00:00,33.0,42
2026-04-03 10:00:00,35.2,34
2026-04-03 11:00:00,36.9,29
2026-04-03 12:00:00,38.3,26
2026-04-03 13:00:00,39.2,24
2026-04-03 14:00:00,39.6,22
2026-04-03 15:00:00,39.7,20
2026-04-03 16:00:00,39.1,20
2026-04-03 17:00:00,38.1,22
2026-04-03 18:00:00,36.7,28
2026-04-03 19:00:00,34.8,33
2026-04-03 20:00:00,33.9,39
2026-04-03 21:00:00,33.1,40
2026-04-03 22:00:00,31.5,45
2026-04-03 23:00:00,30.1,50
